Name,Food groups,Serving size,Serving Count,Last Updated,Source,Ingredients,Notes - Nutrition summary,Tags,Food,Fat (g),Sat Fat (g),Fiber (g),Sugar (g),Sodium (mg),Protein (g),Iron DV%,Calcium DV%,Company,Entree in meal combo,FS ratio,PS ratio,Related to Sides calculations for rice and scrappy tomato stew (Side page),Side in meal combo,Sides calculations for rice and scrappy tomato stew (Side page),Total Carbs (g),Unit Count,Unit size,Vitamin C DV%,Vitamin D DV%,Magnesium DV%,Zinc DV%,Added Sugar (g),Related to Nutrition Calculator (Food),cost per main property,price per serving,Vitamins and minerals per serving,Storage,Pairs with,Vitamin B1 DV%,Vitamin B12 DV%,Vitamin B2 DV%,Vitamin B3 DV%,Vitamin B5 DV%,Vitamin B6 DV%,Vitamin B7 DV%,Vitamin B9 DV%,Created time,Last edited time,Potassium DV%
[watered down] Wonderful Lightly  salted pistachios (no shell) - 6 oz packet,"protein, vegetables",1/4 cup (28g),0,"October 9, 2022 5:11 PM (CDT)",Kroger,,0.73 (raw) and 0.81 (roasted),"Accomodation Food, PDCAAS score, Staple, Staple: Always Keep Replenished, Stellar FS Ratio (+3), Stellar PS Ratio (+3), snacks",https://www.notion.so/pistachios-nuts-97e3f420d267449082d94eb70cb1e273,13,1.5,3,2,22,6,6,2,Wonderful Pistachios,,3,12.55,,,,8,0,1 pouch (6 oz),0,0,8,,0,"https://www.notion.so/2-serving-low-sodium-psitachios-watered-down-97f5b185f11f4ec7a19fd18fd14bb308, https://www.notion.so/1-serving-low-sodium-psitachios-salted-d8458b94d2a4413a96bd40995b007674, https://www.notion.so/1-serving-pistachios-watered-down-f9bf60172af24c1ba89dfc3978f1155e",,Kroger: $0.915,"vitamin d D - 0
calcium - 30mg - 2%
iron - 1.1 mg - 6%
potassium - 280mg - 6%
thiamin 0.19 mg - 15%
vitamin B6 - 0.31 mg - 20%
phosphorous - 130 mg - 10%
magnesium 30mg - 8%
copper - 0.36 mg - 40%
manganese - 0.35 mg - 15%",Pantry,,,,,,,20,,,"October 9, 2022 6:17 PM","October 29, 2022 7:36 PM",6.06
Wonderful Lightly  salted pistachios (no shell) - 6 oz packet,"protein, vegetables",1/4 cup (28g),0,"October 9, 2022 5:11 PM (CDT)",Kroger,,0.73 (raw) and 0.81 (roasted),"Accomodation Food, PDCAAS score, Staple, Staple: Always Keep Replenished, Stellar FS Ratio (+3), Stellar PS Ratio (+3), snacks",https://www.notion.so/pistachios-nuts-97e3f420d267449082d94eb70cb1e273,13,1.5,3,2,65,6,6,2,Wonderful Pistachios,,3,4.25,,,,8,0,1 pouch (6 oz),0,0,8,,0,"https://www.notion.so/1-serving-lightly-salted-pistachios-salted-fd4182ab13db4f80a788e80df77e74a0, https://www.notion.so/1-serving-lightly-salted-pistachios-salted-11c4f1053e0946e5825fb32f90900a8a, https://www.notion.so/2-serving-pistachios-21fbea7347d84693ac8a55e5466339b6",,Kroger: $0.915,"vitamin d D - 0
calcium - 30mg - 2%
iron - 1.1 mg - 6%
potassium - 280mg - 6%
thiamin 0.19 mg - 15%
vitamin B6 - 0.31 mg - 20%
phosphorous - 130 mg - 10%
magnesium 30mg - 8%
copper - 0.36 mg - 40%
manganese - 0.35 mg - 15%",Pantry,,,,,,,20,,,"October 9, 2022 6:10 PM","October 29, 2022 7:36 PM",6.06
"12 oz hot milk from Suzie's ",,cups,0,"October 7, 2022 11:54 AM (CDT)",Suzie's cafe (Vanderbilt University),,,,https://www.notion.so/Milk-2-796e59ae1fa54bf4b897ed5f1c31e320,,,,,,,,,,,N/A,N/A,,,,,0,cups,,,,,,,,,,,,,,,,,,,,"October 7, 2022 12:54 PM","November 19, 2022 11:37 AM",
2301 bowl opt D possibility A,"grains, protein, vegetables",bowl,0,"October 6, 2022 3:00 PM (CDT)",2301 (Vanderbilt Campus Dining),"Snow peas (1 oz), spinach (2x 1 oz), Bean Sprout (1 oz), Brown Rice (5 oz), Sliced Cucumber (1 oz), Basil Oil , sliced peppers (1 oz), Baby Kale (2x 1 oz), Diced Chicken (4x 1 oz - 37g), Broccoli Florettes (2x 1 oz),  cauliflower Florettes (2x 1 oz),",,"Good FS Ratio (1.5 <= x < 3), Stellar PS Ratio (+3), Strength: Potassium",https://www.notion.so/2301-stir-fry-bowl-8abfccad34124e32b27bbc5190324ea2,37.5,3.5,6.8,5.53,555,40.76,22,20,,,2.46,3.38,,,,50,0,bowl,184,,,,0,,,,,,,,,,,,,,,"October 6, 2022 4:00 PM","December 3, 2022 12:27 AM",20.32
2301 bowl opt C possibility A (double chicken - two 2-oz scoops),"grains, protein, vegetables",bowl,0,"October 6, 2022 12:48 AM (CDT)",2301 (Vanderbilt Campus Dining),"Bean Sprout (2x 1 oz) , Cherry Tomatoes (2x 1 oz), Brown Rice (5 oz), Garbanzo Beans (2x 1 oz), Black Beans (2x 1 oz), Sliced Cucumber (2x 1 oz), Basil Oil , Baby Kale (2x 1 oz), Diced Chicken (4x 1 oz - 37g), Broccoli Florettes (2x 1 oz), Sliced Mushroom (2x 1 oz)",,"Stellar FS Ratio (+3), Stellar PS Ratio (+3), Strength: Potassium",https://www.notion.so/2301-stir-fry-bowl-8abfccad34124e32b27bbc5190324ea2,37,3.5,12.3,6.63,640,46,18,16,,,3.71,3.31,,,,67,0,bowl,95,0,,,0,https://www.notion.so/a-2301-bowl-56ca52f0dc064666b78531bef16bf004,,,,,,,,,,,,,,"October 6, 2022 1:41 AM","December 3, 2022 12:27 AM",23
"Workout Energy Bites (peanut butter, oats and misc)","grains, protein, snacks",balls,0,"September 28, 2022 10:09 PM (CDT)",Vandy BCC,"2/3 cup creamy peanut butter 1 cup old fashioned oats
1 1/2 tablespoons honey
1/4 cup mini chocolate chips
2 tablespoons ground flax seed-optional",Why are sugar and sodium missing from the nutrition info?,snacks,https://www.notion.so/energy-bites-balls-ff95c74f9c3147f9a5df5e49c44cda57,5.4,1.2,1.3,,,3.8,,,,,N/A,N/A,,,,9.9,0,trays (16 servings per tray),,,,,,,,,,Fridge,,,,,,,,,,"September 28, 2022 11:08 PM","October 27, 2022 10:35 PM",
[watered down] Wonderful roasted and salted pistachios (no shell) - 12 oz packet,"protein, vegetables",1 pouch (6 oz),0,"September 16, 2022 7:26 PM (CDT)","GoPuff, GrubHub, GrubHub - GrubHub convienience store, Kroger, UberEATS",,0.73 (raw) and 0.81 (roasted),"Accomodation Food, Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3), PDCAAS score, Staple, Staple: Always Keep Replenished, snacks",https://www.notion.so/pistachios-nuts-97e3f420d267449082d94eb70cb1e273,10,1,2,2,35,4,4,2,,,2,5.26,,,,6,0,pouches,0,0,,,0,"https://www.notion.so/1-serving-pistachios-329ef309ba804e2ebfc92fe2f2d22b53, https://www.notion.so/1-serving-pistachios-14ce0863b62841b280e67ee9f045fb2e, https://www.notion.so/1-5-serving-pistachios-ccf81fb826bd4731a05c024984f49163, https://www.notion.so/1-serving-pistachios-watered-down-ef3da664936e4572b62eb6c38d6cee11, https://www.notion.so/49g-pistachios-b0915dd79ba240849b3a28b2eb75de53, https://www.notion.so/2-serving-pistachios-watered-down-48982fdd10c84863b61d097f3c7bdd02",,Kroger: $0.915 | $0.775,,,,,,,,,,,,"September 25, 2022 10:18 PM","October 29, 2022 7:37 PM",4
Campus Dining Ginger Orange Chicken,protein,servings (3 oz),0,"September 24, 2022 7:24 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),"Chicken Breast Chunk Tempura(TEMPURA CHICKEN BREAST MEAN CHUNKS WITH RIB MEAT CONTAINS UP TO 10% SOLUTION OF WATER MODIFIED FOOD STARCH SALT AND SODIUM PHOSPHATES. BATTERED WITH: BATTER MIX [YELLOW CORN FLOUR, BLEACHED WHEAT FLOUR, MODIFIED CORN STARCH, SALT, LEAVENING (SODIUM ALUMINUM PHOSPHATE, SODIUM BICARBONATE), DRIED WHEY, SPICES, GARLIC POWDER, ONION POWDER, DRIED WHOLE EGGS], WATER, CORN OIL. PREDUSTED WITH: BLEACHED WHEAT FLOUR, LEAVENING (SODIUM BICARBONATE, SODIUM ALUMINUM PHOSPHATE, MONOCALCIUM PHOSPHATE), NONFAT DRY MILK, SALT, DRIED WHEY, FLAVOR (MALTODEXTRIN, SALT, SUGAR, SILICON DIOXIDE, GARLIC POWDER, SPICES, SOYBEAN OIL, NATURAL FLAVOR, EXTRACTIVES OF TURMERIC, HYDROLYZED CORN GLUTEN), GARLIC POWDER, ONION POWDER, TORULA YEAST. BATTERED WITH: WATER, YELLOW CORN FLOUR, BLEACHED WHEAT FLOUR, MODIFIED CORN STARCH, SALT, LEAVENING (SODIUM ALUMINUM PHOSPHATE, SODIUM BICARBONATE), DRIED WHEY, SPICES, GARLIC POWDER, ONION POWDER, FLAVOR (MALTODEXTRIN, SALT, SUGAR, SILICON DIOXIDE, GARLIC POWDER, SPICES, SOYBEAN OIL, NATURAL FLAVOR, EXTRACTIVES OF TURMERIC, HYDROLYZED CORN GLUTEN).), Broccoli Florettes, Orange Sauce Gluten Free(ORGANIC SUGAR, WATER, TAMARI SOY SAUCE (WATER, SOYBEANS, SALT, ALCOHOL), ORANGE JUICE CONCENTRATE, RICE VINEGAR, APPLE CIDER VINEGAR, TOMATO PASTE, HONEY, ARROWROOT, GARLIC POWDER, CANOLA OIL, XANTHAN GUM, RED PEPPER.), Green Bell Pepper(GREEN PEPPER), Red Bell Pepper, Yellow Bell Pepper, Oil Olive Canola EVO 90/10(90% CANOLA OIL, 10% EXTRA VIRGIN OLIVE OIL.), Garlic",,"Ok PS Ratio (1 <= x < 1.5), uncertain ingredients/additives",,8,1,,,310,9,,,,,N/A,1.34,,,,15,0,,,,,,,https://www.notion.so/1-serving-Chinese-orange-chicken-bc7ff386228e47dbb8713a8a05254a71,,,,Fridge,,,,,,,,,,"September 24, 2022 8:23 PM","September 24, 2022 8:27 PM",
"2301 bowl reg A (white rice) - dual greens, bean sprouts, dual bean, tomato mushroom cauliflower pepper cucumber (chicken always)","grains, protein, vegetables",bowl,0,"September 29, 2022 1:31 AM (CDT)",2301 (Vanderbilt Campus Dining),"Spinach, Bean Sprout, Cherry Tomatoes, Brown Rice, Garbanzo Beans, Black Beans, Sliced Cucumber, Basil Oil, Sliced Peppers, Baby Kale, Diced Chicken, Cauliflower Florettes, Sliced Mushroom

","40% Vitamin C from the peppers and 15% from the cauliflower is good. 8% each from the baby kale and spinach and 4% each from the bean sprouts and cherry tomato is good ","Stellar FS Ratio (+3), Stellar PS Ratio (+3), Strength: Potassium",https://www.notion.so/2301-stir-fry-bowl-8abfccad34124e32b27bbc5190324ea2,35,3,3.9,3.21,435,31.55,14,10,,,2.43,3.34,,,,50.92,0,bowl,79%,0,,,0,https://www.notion.so/A-2301-bowl-opt-A-1b769d9d4e7a40848f9eff67fcfee19d,,,,Fridge,,,,,,,,,,"September 24, 2022 8:08 PM","December 3, 2022 12:27 AM",17
"2301 bowl reg A (brown rice) - dual greens, bean sprouts, dual bean, tomato mushroom cauliflower pepper cucumber (chicken always)","grains, protein, vegetables",bowl,0,"September 29, 2022 1:32 AM (CDT)",2301 (Vanderbilt Campus Dining),"Spinach, Bean Sprout, Cherry Tomatoes, Brown Rice, Garbanzo Beans, Black Beans, Sliced Cucumber, Basil Oil, Sliced Peppers, Baby Kale, Diced Chicken, Cauliflower Florettes, Sliced Mushroom

","40% Vitamin C from the peppers and 15% from the cauliflower is good. 8% each from the baby kale and spinach and 4% each from the bean sprouts and cherry tomato is good ","Stellar FS Ratio (+3), Stellar PS Ratio (+3), Strength: Potassium",https://www.notion.so/2301-stir-fry-bowl-8abfccad34124e32b27bbc5190324ea2,35,3,5.9,3.21,435,31.55,14,10,,,3.68,3.34,,,,50.92,0,bowl,79%,0,,,0,https://www.notion.so/2301-bowl-6d63d2964ea94635af0a891011deaf31,,,,Fridge,,,,,,,,,,"September 23, 2022 4:08 PM","December 3, 2022 12:27 AM",17
[Update] Campus Dining Sweet Potato chunks (has hopdoddy info as placeholder),vegetables,"3 oz serving ",0,"October 15, 2022 1:07 AM (CDT)",2301 (Vanderbilt Campus Dining),,,"Tastes Of Nashville (TON), restaurant",https://www.notion.so/Fries-4235e38d6ac349ae9448312f331b5fc7,7.64,1.137,3.2,6.34,188,1.83,,,,,1.01,0.45,,,,17.29,,,0,0,,,,,,,,,,,,,,,,,,"September 23, 2022 2:33 AM","October 15, 2022 2:07 AM",
Campus Dining Sweet Potato Fries (has hopdoddy info as placeholder),vegetables,1 fries,0,"October 24, 2022 1:12 AM (CDT)",Dining Hall (Vanderbilt Campus Dining),,,"Tastes Of Nashville (TON), restaurant",https://www.notion.so/Fries-4235e38d6ac349ae9448312f331b5fc7,7.64,1.137,3.2,6.34,188,1.83,,,,,1.01,0.45,,,,17.29,,,0,0,,,,https://www.notion.so/60g-fries-PLACEHOLDER-fb9d681ccb7744c5976c5abdb212bbef,,,,,,,,,,,,,,"September 23, 2022 2:27 AM","October 24, 2022 2:12 AM",
Campus dining fingerling potatoes (used old 2019 info - less detailed),,"3 oz (90g) serving ",0,"December 13, 2022 3:55 PM (CST)",Dining Hall (Vanderbilt Campus Dining),,,,https://www.notion.so/Mashed-potatoes-671819479cfe4b58b2a8948ed797e168,4.5,,,,190,2,4,2,,,N/A,0.48,,,,16,,,,,,,,,,,,,,,,,,,,,,"September 23, 2022 2:16 AM","December 13, 2022 4:55 PM",
Campus Dining Rothschild Grilled Chicken Breast -  3 oz portion  (90g),protein,3 oz portion (90g),0,"October 15, 2022 9:59 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),,Protein is a pure guess,Staple,https://www.notion.so/Chicken-breast-7cb17fa77bba40ccad50a207d933da5f,4.5,1.5,0,0,210,15,,,,,N/A,3.29,,,,0,0,3 oz portion (90g),0,0,,,,"https://www.notion.so/chicken-3-oz-zeppos-37e3e733477c43dd9d993abce3de6321, https://www.notion.so/94-g-chicken-6d7e366ba954496d884b54bbd489c710, https://www.notion.so/87g-Campus-dining-chicken-b56219214b54435eb4718eb877c804ea, https://www.notion.so/84-g-chicken-breast-8d38ad3e836d4203bd7c57ba33ba3379, https://www.notion.so/56-g-chicken-3cd3126db5d949eab15d6b8f2828b8e6, https://www.notion.so/1-serving-chicken-breast-from-Bethel-placeholder-f410a47c1225478291ed0e5e3718cbae, https://www.notion.so/Campus-dining-110g-total-98g-chicken-breast-88-72g-chicken-breast-35e0538a0dc541a4b60dfc17288390a5, https://www.notion.so/124g-chicken-breast-58e2c49e01cc438a834809e5988af513, https://www.notion.so/147g-chicken-breast-6be24e3e11b047b19006856e5fa6711b, https://www.notion.so/One-100g-chicken-breast-3a94769eb7324a28a71b47f8b58a7992, https://www.notion.so/135g-chicken-5e856603284646efa90ac0e23860c2ca",,,,Fridge,,,,,,,,,,"September 19, 2022 12:26 AM","October 15, 2022 11:00 PM",
banana seed bars v2,"fruits, grains, protein",bars (67.75g = 2.39 oz),0,"September 27, 2022 4:40 PM (CDT)",Conrad Hansen-Quartey (myself),"bananas, sunflower seeds, honey, oats, and cinnamon-cumin spice blend 1",,"Ok FS Ratio (1 <= x < 1.5), Staple, Stellar PS Ratio (+3), Update potassium from oats, snacks","https://www.notion.so/granola-bars-65810c7af94740bfbf0c4d1cc54df0de, https://www.notion.so/Breakfast-bars-c90c48680d9040a4b77b3380d387f4a4, https://www.notion.so/Fruit-and-nut-bars-ce368df756214db58cfe37e46ac1e98d",9.055,0.8075,3.865,7.15375,66.2025,5.595,,,,,1.08,3.89,,,,23.97,0,trays (8 bars),,,,,2.125,"https://www.notion.so/Summary-of-banana-sunflower-seed-bars-v2-bc26c24f02f64ba8a2b0a9f085dcdff0, https://www.notion.so/2-banana-seed-v2-bars-fcfa3b76d32c493495376594ee29ed1e",,,,Pantry,,,,,,,,,,"September 17, 2022 7:13 PM","October 27, 2022 12:12 AM",
Wonderful roasted and salted pistachios (no shell) - 12 oz packet,"protein, vegetables",1 pouch (6 oz),0,"September 16, 2022 7:26 PM (CDT)","GoPuff, GrubHub, GrubHub - GrubHub convienience store, Kroger, UberEATS",,0.73 (raw) and 0.81 (roasted),"Accomodation Food, Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3), PDCAAS score, Staple, Staple: Always Keep Replenished, snacks",,10,1,2,2,105,4,4,2,,,2,1.75,,,,6,0,pouches,0,0,,,0,"https://www.notion.so/2-serving-pistachios-salted-9a7ba9a0fe5740db8ed4b3abaeb3af27, https://www.notion.so/1-serving-pistachios-salted-98f99ace939849e49f2709e781904429, https://www.notion.so/2-pistachios-salted-1fefcd301ebb4b888f8632f2903d535a",,Kroger: $0.915 | $0.775,,,,,,,,,,,,"September 16, 2022 8:26 PM","October 6, 2022 3:02 AM",
2301 bowl reg 2,"grains, protein, vegetables",bowl,0,"September 16, 2022 5:51 PM (CDT)",2301 (Vanderbilt Campus Dining),"1 oz cherry tomatoes (1 serving), 5 oz white rice (1 serving), 1 oz sliced cucumber (1 serving), 1 oz bean sprouts (1 serving), 1 oz basil oil (1 serving), 1 oz kale (1 serving), 4 oz diced chicken (4 serving), 1 oz black beans, 1 oz chickpeas, 1 oz cauliflower",,"Good FS Ratio (1.5 <= x < 3), Stellar PS Ratio (+3)",https://www.notion.so/2301-stir-fry-bowl-8abfccad34124e32b27bbc5190324ea2,,,4.8,1.75,391,36,,,,,5.49,4.24,,,,,0,bowl,,0,,,0,,,,,,,,,,,,,,,"September 16, 2022 6:52 PM","October 6, 2022 2:02 AM",5
"Dining Hall Roasted Cauliflower ",vegetables,3 oz portion (87 g),0,"September 15, 2022 10:21 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),,,,,5,0.5,,,320,2,,,,,N/A,0.29,,,,6,,,0,0,,,,https://www.notion.so/115g-cauliflower-c002bf5cf73e412987f6584cc2df2787,,,,,,,,,,,,,,"September 15, 2022 11:16 PM","September 15, 2022 11:22 PM",
veggie samosa (the horn),,2 piece (box?),0,"September 15, 2022 10:07 PM (CDT)",The Horn (Nashville TN),,,"Ok FS Ratio (1 <= x < 1.5), Poor PS Ratio (<0.8), restaurant",,3.2,1.4,1,2,258,2,14,4,,,1,0.36,,,,15,,,4,,,,0,https://www.notion.so/1-vegetable-samosa-using-placeholders-68caa635cb1b4fadabe44665f72dfce2,,,,Fridge,chicken breast,,,,,,,,,"September 15, 2022 10:59 PM","September 15, 2022 11:08 PM",
Panera at Home - Baked potato soup,"grains, protein, vegetables","container ",0,"September 15, 2022 8:56 PM (CDT)",Munchie (Vanderbilt Campus Dining),,It has 0.5g of trans fats - WHAAAT! (At least they were honset),"Good FS Ratio (1.5 <= x < 3), Poor PS Ratio (<0.8), Staple, soup",,12,8,3,4,570,7,4,6,Panera,,1.5,0.56,,,,27,,container,0,0,,,0,"https://www.notion.so/1-Panera-potatoes-soup-f223c17467cb4c03a8f601d0fd6fed22, https://www.notion.so/1-Panera-potatoes-soup-57817c6277c040ba8688d3689215d156",,,,,3 hard boiled eggs (18g protein) and bread (4g fiber and some protein). Would make total rpotein 20g to the 17% DV SODIUM and total fiber 4g.,,,,,,,,,"September 15, 2022 9:52 PM","September 15, 2022 10:49 PM",
"Red Plate Foods Granola ",grains,bags (0.25 cup serving - 28g),0,"September 13, 2022 5:07 PM (CDT)",Munchie (Vanderbilt Campus Dining),,"free from wheat, gluten, egg, dairy, peanuts, tree nuts, and soy. It is vegan and non gmo",,https://www.notion.so/Granola-52dc370b7e064f1da5ec198c97f27f83,4,0,2,4,45,2,6,,Red Plate Foods,,1,2.04,,,,16,0,boxes,0,0,,,3,"https://www.notion.so/1-nature-valley-bar-e34172e706c94af781e2ed6f7f2be2d6, https://www.notion.so/1-nature-valley-08a747123dbc4ec7bdcfc0e9d97585f7",,$0.41,,,,,,,,,,,,"September 13, 2022 5:58 PM","September 13, 2022 6:09 PM",
That's It fruit bar - 1 apple + 12 strawberries,fruits,bar,0,"September 11, 2022 1:18 AM (CDT)",Munchie (Vanderbilt Campus Dining),,,"Accomodation Food, Good PS Ratio (1.5 <= x < 3), Poor FS Ratio (<0.8), Staple, Staple: Always Keep Replenished, gluten free, non-gmo, paleo",https://www.notion.so/fruit-bars-d57be794b2b943d6a7955654e330b3fb,0,0,4,17,30,1,0,0,,,0.47,1.53,,,,22,0,bars,,,,,0,"https://www.notion.so/1-that-s-it-apple-strawberry-bar-27b7a4d06ea94d2a81d70303aa6d293d, https://www.notion.so/1-strawberry-fruit-bar-that-s-it-5deab20b39154720a2bc11fbd8d26a1f, https://www.notion.so/1-fruit-bar-9cc39cf5ec2445198acac7b67264e140, https://www.notion.so/One-that-s-it-bar-ec3b698c2b814d1f997b9aab546c9127",,,,Pantry,,,,,,,,,,"September 11, 2022 2:17 AM","December 15, 2022 3:11 PM",7.06
Campus Dining Charred Brussel Sprouts,vegetables,3 oz. poriton (97g),0,"November 11, 2022 11:38 PM (CST)","2301 (Vanderbilt Campus Dining), Dining Hall (Vanderbilt Campus Dining)","Brussels Sprouts, Oil Olive Canola EVO 90/10(90% CANOLA OIL, 10% EXTRA VIRGIN OLIVE OIL.), Kosher Salt(SALT, YELLOW PRUSSIATE OF SODA), Ground Black Pepper(BLACK PEPPER)",,"Good FS Ratio (1.5 <= x < 3), Poor PS Ratio (<0.8)",,1.5,0.2,2,2,420,2,,,,,2,0.22,,,,,0,3 oz. poriton (97g),,,5,,,"https://www.notion.so/Campus-dining-110g-brussel-sprouts-be22eac5cfd44ca0b788837074d49294, https://www.notion.so/59g-brussels-sprout-thing-4ef81701d35f40e283fe47218dd6629b, https://www.notion.so/52g-brussel-sprouts-1f92ff4c74524b5d8c666257c4ebc2ce, https://www.notion.so/116g-brussels-sprouts-d4c9667e6a9541a58f9e9bafbdaabc99",,,,Fridge,,,,,,,,,,"September 10, 2022 11:04 PM","November 12, 2022 12:38 AM",
kiwi sunflower seed bars,"fruits, grains, protein",bars (24.57g = 0.867 oz),0,"October 3, 2022 10:21 PM (CDT)",Conrad Hansen-Quartey (myself),"kiwi, sunflower seeds, honey and oats",,"Fiber: insoluble fiber, Fiber: soluble fiber, Poor FS Ratio (<0.8), Stellar PS Ratio (+3), Update potassium from oats, [UPDATE NUTRITION], [UPDATE] zinc from kiwi, snacks","https://www.notion.so/granola-bars-65810c7af94740bfbf0c4d1cc54df0de, https://www.notion.so/Breakfast-bars-c90c48680d9040a4b77b3380d387f4a4, https://www.notion.so/Fruit-and-nut-bars-ce368df756214db58cfe37e46ac1e98d",3.9325,0.36125,1.8475,4.694375,31.10375,2.5425,,,,,0.79,3.76,,,,11.11875,0,trays (8 bars),,,,,2.82625,"https://www.notion.so/Summary-of-kiwi-seed-bars-d386b5194190477eadd687bda9ac7550, https://www.notion.so/1-7-serving-kiwi-seed-bars-df60903aa8924c1fb41ae4fb7b8fd59e",,,,,,,,,,,,,,"September 9, 2022 10:03 PM","October 27, 2022 12:11 AM",
Thrive Market Organic Coconut Chips - sea salt,fruits,1 oz servings (3.5 servings per bag),0,"September 16, 2022 5:55 PM (CDT)",Thrive Market,,"This is a great way to add fiber to any baked goods. The sodium isn't that bad. And these are naturally buttery. And they are baked rather than fried to achieve crispiness. A better alternative to potato chips for sure.  _________________________________________Ethically sourced and gluten free

glad I got this as a free sample","Staple, Stellar FS Ratio (+3), Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Organic, Thrive Values: Paleo, Thrive Values: gluten-free, Thrive values: vegan, Thrive values: vegetarian, easy to digest, low sodium, low sugar, mediocre PS ratio (0.8 <= x < 1), snacks",,15,13,5,1,100,2,6,0,Thrive Market,,10,0.92,,,,10,0,3.5 oz bags,0,0,2.268,,0,"https://www.notion.so/19g-coconut-chips-03fc3a1a60a54df880e60a8f8e3b7f89, https://www.notion.so/19g-coconut-chips-formerly-thought-it-was-1-serving-7e390b0b98fb4d58b840b06275414cba","regular
$3.79 per bag →
A per serving → B per gram of protein

Retail
$5.79 per bag →
A per serving → B per gram of protein",A per serving,,,,,,,,,,,,"September 7, 2022 9:12 PM","September 16, 2022 6:55 PM",
Woodstock frozen blueberries,fruits,servings (140g serving),0,"October 18, 2022 3:09 AM (CDT)",Munchie (Vanderbilt Campus Dining),,,"Fiber: insoluble fiber, Poor FS Ratio (<0.8), organic",https://www.notion.so/blueberries-429f80f77c9e4b04accaff2b18f5212e,0,0,5,15,5,0,2,2,,,0.67,N/A,,,,20,0,bags (2 servings per bag)(yes a full 2*140g = 280g),16,0,,1.4,0,"https://www.notion.so/96g-blueberries-75c5d51e1c114ae3bf0ac38c5658998d, https://www.notion.so/2-servings-1-full-bag-280g-of-frozen-blueberries-a2049aec507a4612af3e0793cc262edf, https://www.notion.so/183g-1-3-servings-of-frozen-blueberries-fe5cac4a6efc4690a6f56b41f6526aee",,"Munchie
- Meal Swipe - free (entree+side)
- Meal Money - $8.99",,freezer,,,,,,,,,,"September 3, 2022 11:21 AM","November 19, 2022 9:19 AM",2.43
banana sunflower seed bars,,bars (8 bars per tray),0,"September 16, 2022 6:43 PM (CDT)",,,,"Mediocre FS Ratio (0.8 <= x < 1), Stellar PS Ratio (+3), granola bar, snacks",https://www.notion.so/granola-bars-65810c7af94740bfbf0c4d1cc54df0de,8.43,0.6825,2.74,6.605,46.2025,4.595,,,,,0.83,4.57,,,,16.48375,0,trays,,,,,2.82625,https://www.notion.so/Summary-of-banana-sunflower-seed-bars-ae96e57d9b184dcc9b3c70d27f51e1ba,,,,Pantry,,,,,,,,,,"September 2, 2022 7:16 AM","September 16, 2022 7:43 PM",
"Manuka Honey Immunity Gummies, Citrus",,2 gummies (30 servings per container),0,"September 16, 2022 6:49 PM (CDT)",Thrive Market,,,"Staple, Vitamin & Minerals: Vitamin C, Vitamin & Minerals: Zinc",https://www.notion.so/Vitamin-Gummies-7cb3455ee6014a2688e6f2e10ec4598a,,,,,,,,,,,N/A,N/A,,,,,0,bottle,278,0,,,,,,,,,,,,,,,,,,"August 27, 2022 11:03 PM","September 16, 2022 7:49 PM",
apple nut bars - version 2,"grains, protein",1 piece (4 pieces per tray) (42.1 g),0,"September 16, 2022 5:57 PM (CDT)",Conrad Hansen-Quartey (myself),,"The FS ratio is good because of all of the sunbutter used 

Having so much sunbutter when that is expensive per serving its what is pushing the cost up","Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3), granola bar, snacks","https://www.notion.so/nut-and-seed-bars-6a14936cf1af40e08f13c2d3f2789687, https://www.notion.so/granola-bars-65810c7af94740bfbf0c4d1cc54df0de",23.575,2.29375,6.3375,8.425,193.925,10.7,,,,,1.5,2.54,,,,,0,1 tray,,,,,4.25,https://www.notion.so/apple-nut-bars-v2-whole-tray-of-4-servings-9783ddb255a44e48ac4612335881d506,,,,Pantry,,,,,,,,,,"August 19, 2022 12:10 AM","September 16, 2022 6:57 PM",
apple nut bars - version 1,"grains, protein",1 piece (8 pieces per tray) (53 g),0,"September 16, 2022 6:48 PM (CDT)",Conrad Hansen-Quartey (myself),,,"Good PS Ratio (1.5 <= x < 3), Mediocre FS Ratio (0.8 <= x < 1), snacks","https://www.notion.so/nut-and-seed-bars-6a14936cf1af40e08f13c2d3f2789687, https://www.notion.so/granola-bars-65810c7af94740bfbf0c4d1cc54df0de",9.45,1.04375,3.2125,8,76.425,4.6125,,,,,0.8,2.78,,,,,0,1 tray,,,,,4.25,"https://www.notion.so/apple-nut-bars-whole-tray-of-8-servings-e596e51de650415a94e7b4cff3ac39d0, https://www.notion.so/0-67-apple-nut-bar-5cd6e296f20044eeb2605c6367bcffb0",,$0.6744,,Pantry,,,,,,,,,,"August 16, 2022 6:06 PM","September 16, 2022 7:48 PM",
